Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-July-2019,239.00,239.75,233.10,238.55,236.959358775335916642,250583,2833,59377987.00,37381,14.92,6.65,-0.45
24-July-2019,243.20,243.20,235.35,238.15,238.267002444409399148,101456,1348,24173617.00,21384,21.08,7.85,-5.05
23-July-2019,247.00,247.00,238.15,241.60,241.877689038162373969,153633,1973,37160395.00,32762,21.32,8.85,-5.40
22-July-2019,244.50,247.15,237.15,246.30,242.401332488695690163,228895,2491,55484453.00,63145,27.59,10.00,1.80
19-July-2019,265.00,265.00,238.30,240.35,261.570334367212039443,7104315,7693,1858278050.00,6584327,92.68,26.70,-24.65
18-July-2019,264.00,265.40,260.45,263.05,263.361257351369355664,201153,2353,52975907.00,93845,46.65,4.95,-0.95
17-July-2019,260.00,263.55,258.90,262.80,262.135182180761170824,118344,1497,31022126.00,28968,24.48,4.65,2.80
16-July-2019,252.60,258.55,250.10,258.10,256.034467505558336340,85907,1248,21995153.00,26036,30.31,8.45,5.50
15-July-2019,256.00,256.00,249.30,252.65,252.021483318304779080,44360,736,11179673.00,10434,23.52,6.70,-3.35
12-July-2019,254.90,255.60,251.55,253.45,253.863914722142268716,100753,1161,25577551.00,36249,35.98,4.05,-1.45
11-July-2019,247.95,254.25,246.80,252.55,251.220239964821910924,143271,1853,35992575.00,41447,28.93,7.45,4.60
10-July-2019,245.20,247.85,244.55,246.60,246.390283802467572217,94749,978,23345233.00,27953,29.50,3.30,1.40
9-July-2019,241.70,247.15,238.90,244.85,243.170754444283856048,138380,1743,33649969.00,33355,24.10,8.25,3.15
8-July-2019,233.95,243.35,230.00,240.40,238.581304503182068392,207098,2708,49409711.00,47635,23.00,13.35,6.45
5-July-2019,249.00,250.20,238.90,239.75,243.135022943748336183,221629,2407,53885772.00,89322,40.30,11.30,-9.25
4-July-2019,249.50,250.90,246.90,248.60,248.748548840853245967,112324,1073,27940432.00,32940,29.33,4.00,-0.90
3-July-2019,254.05,254.15,248.40,248.95,250.081381335844659574,125299,2091,31334947.00,53652,42.82,5.75,-5.10
2-July-2019,253.50,256.70,250.35,254.05,253.252615429811819621,122542,1537,31034082.00,28581,23.32,6.35,0.55
1-July-2019,251.90,253.20,249.45,252.05,251.283253573838885821,65196,962,16382663.00,23095,35.42,3.75,0.15
28-June-2019,251.40,252.15,247.55,250.40,250.657819086799735893,98445,1520,24676009.00,31973,32.48,4.60,-1.00
27-June-2019,253.90,253.90,247.30,248.30,250.175396504530060113,150881,1832,37746714.00,58345,38.67,6.60,-5.60
26-June-2019,246.05,254.00,244.50,252.85,250.969386005520978001,233292,3107,58549150.00,81941,35.12,9.50,6.80
25-June-2019,249.70,250.00,245.20,246.40,247.427471649695269603,158993,2319,39339236.00,75348,47.39,4.80,-3.30
24-June-2019,249.95,250.75,246.40,249.70,248.910535207460467630,147980,1734,36833781.00,47005,31.76,4.35,-0.25
21-June-2019,253.10,253.10,248.00,249.70,250.575502810163035905,86116,1293,21578560.00,34434,39.99,5.10,-3.40
20-June-2019,251.00,254.00,246.70,253.10,251.775406642974302897,175584,2585,44207733.00,69430,39.54,7.30,2.10
19-June-2019,244.05,252.50,242.80,251.00,247.967448750366262602,184294,2955,45698913.00,58776,31.89,9.70,6.95
18-June-2019,247.20,247.65,238.90,243.10,243.827901318878313201,234290,3657,57126439.00,73243,31.26,8.75,-4.10
17-June-2019,248.40,248.40,245.00,245.80,246.437784675286511901,108896,1594,26836089.00,40120,36.84,3.40,-2.60
14-June-2019,259.00,259.00,248.00,248.90,250.960716353814875711,236587,4240,59374043.00,82308,34.79,11.00,-10.10
13-June-2019,257.45,258.15,250.25,256.40,254.607708626198083067,195625,2799,49807633.00,38633,19.75,7.90,-1.05
12-June-2019,271.85,271.85,256.80,258.15,261.320657074231506527,263958,3923,68977678.00,96260,36.47,15.05,-13.70
11-June-2019,534.00,544.10,525.80,536.75,537.006405220859266420,628862,3576,337702922.00,514706,81.85,18.30,2.75
10-June-2019,531.00,534.00,525.15,529.90,530.443103023986334882,207243,3156,109930620.00,84118,40.59,8.85,-1.10
7-June-2019,547.05,547.55,525.50,528.45,530.415020867166081687,171801,3113,91125831.00,70126,40.82,22.05,-18.60
6-June-2019,543.00,552.80,542.00,545.20,546.577300273246219192,147852,2525,80812547.00,49516,33.49,10.80,2.20
4-June-2019,558.00,560.70,539.20,540.70,546.704311576121560461,232444,3793,127078137.00,97966,42.15,21.50,-17.30
3-June-2019,548.90,558.85,541.35,553.90,550.034038282487515265,165402,2769,90976730.00,54490,32.94,17.50,5.00
31-May-2019,545.00,548.00,538.55,541.00,542.405746496214853932,103959,2262,56387959.00,33166,31.90,9.45,-4.00
30-May-2019,543.45,550.80,541.55,544.45,545.939568575659342858,74961,1328,40924176.00,14179,18.92,9.25,1.00
29-May-2019,543.00,549.35,539.45,543.15,545.346254327374747435,77703,2201,42375040.00,19157,24.65,9.90,0.15
28-May-2019,554.65,557.55,535.60,542.60,545.585493741984708040,123202,2585,67217224.00,29011,23.55,21.95,-12.05
27-May-2019,536.10,553.35,533.35,550.40,548.128418611609814482,133680,2557,73273807.00,29740,22.25,20.00,14.30
24-May-2019,513.00,535.00,512.90,533.35,528.954126359593329980,202818,4590,107281418.00,45522,22.44,22.10,20.35
23-May-2019,526.95,526.95,509.05,510.70,518.079465113383233947,144554,3535,74890459.00,39654,27.43,17.90,-16.25
22-May-2019,520.15,523.85,516.00,519.60,520.062778730703259005,72875,1487,37899575.00,26037,35.73,7.85,-0.55
21-May-2019,529.95,532.05,517.80,518.85,524.237590147397582017,132838,2424,69638673.00,41888,31.53,14.25,-11.10
20-May-2019,538.20,538.20,510.00,524.70,521.643744881111790018,153842,4095,80250717.00,45011,29.26,28.20,-13.50
17-May-2019,527.00,527.00,516.00,520.80,520.778387470357910991,145064,2667,75546196.00,50927,35.11,11.00,-6.20
16-May-2019,531.95,533.35,520.10,527.45,526.440122703545522337,118008,2173,62124146.00,21259,18.01,13.25,-4.50
15-May-2019,529.50,536.75,524.90,531.45,532.501080446996357350,145773,2359,77624280.00,38744,26.58,11.85,1.95
14-May-2019,526.00,537.75,518.00,529.20,531.542413279421153436,117475,2085,62442945.00,33166,28.23,19.75,3.20
13-May-2019,539.70,539.70,521.05,525.45,530.370578387772836477,156504,3176,83005117.00,55544,35.49,18.65,-14.25
10-May-2019,531.15,545.15,531.15,540.60,541.100184884168207368,161182,2840,87215610.00,53772,33.36,14.00,9.45
9-May-2019,546.05,547.15,523.00,531.15,531.030765706759436224,279402,5047,148371058.00,79323,28.39,24.15,-14.90
8-May-2019,556.00,560.00,543.50,546.00,548.083046558261311196,228402,3158,125183264.00,87686,38.39,16.50,-10.00
7-May-2019,546.30,558.95,545.55,551.40,553.656766453793619349,216561,3284,119900463.00,72455,33.46,13.40,5.10
6-May-2019,550.00,555.20,539.95,544.55,546.422038966352963394,158855,3156,86801873.00,50876,32.03,15.25,-5.45
3-May-2019,560.90,563.10,550.05,551.50,555.557655827820739774,268325,5437,149070008.00,84826,31.61,13.05,-9.40
2-May-2019,594.95,594.95,556.00,560.90,569.423386075743901726,308038,8188,175404041.00,116458,37.81,38.95,-34.05
30-April-2019,621.00,621.00,586.00,592.90,600.614820066535258233,256706,6491,154181428.00,95110,37.05,35.00,-28.10
26-April-2019,629.00,629.00,612.70,619.80,620.739911051461203436,303996,6408,188702450.00,66984,22.03,16.30,-9.20
25-April-2019,620.00,623.00,615.50,620.10,619.696338536591745849,152917,3396,94762105.00,38228,25.00,7.50,0.10
24-April-2019,618.70,618.70,609.55,613.60,612.939066587897712887,47396,2304,29050860.00,20937,44.17,9.15,-5.10
23-April-2019,620.00,620.05,609.85,614.00,613.795523468972072602,132558,3170,81363507.00,45160,34.07,10.20,-6.00
22-April-2019,618.00,618.00,606.00,607.75,609.421131646455223880,68608,1203,41811165.00,26627,38.81,12.00,-10.25
18-April-2019,624.00,624.00,612.70,615.30,616.594313554392088423,27504,778,16958810.00,12083,43.93,11.30,-8.70
16-April-2019,625.00,626.50,620.10,623.15,623.129261306329931012,24787,505,15445505.00,5463,22.04,6.40,-1.85
15-April-2019,629.35,630.00,619.20,622.35,623.902216770349601331,34239,726,21361788.00,10836,31.65,10.80,-7.00
12-April-2019,628.50,633.15,624.80,628.75,628.472841703198923564,115195,1421,72396929.00,10353,8.99,8.35,0.25
11-April-2019,628.00,633.90,624.10,629.65,629.873388400071826180,55690,1044,35077649.00,10538,18.92,9.80,1.65
10-April-2019,619.95,636.00,614.75,628.95,628.540903622510359577,119696,2525,75233832.00,28822,24.08,21.25,9.00
9-April-2019,607.85,622.40,604.50,619.50,615.551796613767846717,94205,2943,57988057.00,27615,29.31,17.90,11.65
8-April-2019,613.20,616.00,606.00,606.95,608.450588248314942503,90353,1373,54975336.00,18397,20.36,10.00,-6.25
5-April-2019,615.00,615.15,610.85,612.95,613.148712065908853895,28767,639,17638449.00,9682,33.66,4.30,-2.05
4-April-2019,608.00,614.00,605.80,612.85,610.634208267772850808,27964,786,17075775.00,7717,27.60,8.20,4.85
3-April-2019,618.00,618.00,607.05,608.00,611.711323346634395237,30574,909,18702462.00,11890,38.89,10.95,-10.00
2-April-2019,620.00,624.90,613.20,615.60,618.183532212962706608,36119,1013,22328171.00,7583,20.99,11.70,-4.40
1-April-2019,612.15,622.90,612.15,618.35,618.517046390337633818,54645,1386,33798864.00,20377,37.29,10.75,6.20
29-March-2019,610.00,618.90,607.00,611.00,613.317327235772357723,62976,1266,38624272.00,19432,30.86,11.90,1.00
28-March-2019,600.00,608.00,592.15,606.45,599.728388679647818559,121869,2552,73088299.00,19495,16.00,15.85,6.45
27-March-2019,612.35,617.75,600.00,603.15,608.332694464556979996,70437,1474,42849130.00,23346,33.14,17.75,-9.20
26-March-2019,613.00,616.20,610.00,611.55,612.912170067056641460,35045,927,21479507.00,8821,25.17,6.20,-1.45
25-March-2019,620.00,620.00,608.65,611.05,611.518071219252286653,33783,932,20658915.00,8695,25.74,11.35,-8.95
22-March-2019,628.15,629.00,610.00,616.00,620.119028356458072084,49442,1075,30659925.00,13905,28.12,19.00,-12.15
20-March-2019,628.20,636.80,627.00,628.10,632.080517029908481932,52995,991,33497107.00,15358,28.98,9.80,-0.10
19-March-2019,633.00,633.20,624.05,628.15,629.236664948534120550,64023,1518,40285619.00,24094,37.63,9.15,-4.85
18-March-2019,623.00,630.40,621.90,626.90,626.727864774869950119,74779,1328,46866083.00,24616,32.92,8.50,3.90
15-March-2019,620.00,629.10,618.55,622.80,623.205507453509048908,60173,1032,37500145.00,14773,24.55,10.55,2.80
14-March-2019,618.00,623.65,612.40,618.40,618.411723862590914614,57609,1150,35626081.00,9637,16.73,11.25,0.40
13-March-2019,639.45,639.45,616.15,618.25,625.218473056268352689,75602,1691,47267767.00,19726,26.09,23.30,-21.20
12-March-2019,626.05,640.95,625.05,634.80,634.693441391015923608,154362,2868,97972549.00,26862,17.40,15.90,8.75
11-March-2019,616.55,625.00,615.55,622.85,620.163732665969591525,58339,1219,36179732.00,15443,26.47,9.45,6.30
8-March-2019,614.80,619.35,613.15,614.80,615.831093300154801001,69121,1405,42566861.00,16869,24.41,6.20,0.00
7-March-2019,609.80,621.55,608.00,611.40,615.005837260004219706,241723,4558,148661056.00,29170,12.07,13.55,1.60
6-March-2019,628.00,634.55,624.30,625.45,629.077818341522329883,109293,1681,68753802.00,29688,27.16,10.25,-2.55
5-March-2019,633.40,633.40,624.00,627.25,627.263325608342989571,86300,1934,54132825.00,19800,22.94,9.40,-6.15
1-March-2019,624.40,632.55,622.65,631.45,627.868878865979381443,46560,890,29233575.00,10411,22.36,9.90,7.05
28-February-2019,624.00,628.70,617.65,621.60,624.325016443135348451,69938,1312,43664043.00,16759,23.96,11.05,-2.40
27-February-2019,621.65,629.35,612.60,616.25,619.836047128205791440,77321,1281,47926343.00,13282,17.18,16.75,-5.40
26-February-2019,615.00,621.60,608.00,619.60,616.839706896035004645,66734,1237,41164181.00,17222,25.81,13.60,4.60
25-February-2019,629.70,629.70,614.00,616.55,618.266433849364366176,46961,874,29034410.00,10758,22.91,15.70,-13.15
22-February-2019,622.00,627.25,618.95,620.75,624.194597123143491989,25653,597,16012464.00,5778,22.52,8.30,-1.25
21-February-2019,620.00,624.60,618.15,621.65,621.730812013348164627,39556,3209,24593184.00,14415,36.44,6.45,1.65
20-February-2019,620.00,620.00,611.65,618.15,615.320475714360890385,57009,1070,35078805.00,16175,28.37,8.35,-1.85
19-February-2019,607.05,620.20,605.90,615.85,615.020116244967606046,75014,1462,46135119.00,12207,16.27,14.30,8.80
18-February-2019,624.00,625.40,605.05,606.85,612.952928337577300836,82470,1806,50550228.00,15724,19.07,20.35,-17.15
15-February-2019,641.50,641.50,611.80,615.40,619.684993107382231306,105185,2509,65181566.00,25988,24.71,29.70,-26.10
14-February-2019,639.50,645.95,635.00,643.70,640.553174350821409644,47175,988,30218096.00,12152,25.76,10.95,4.20
13-February-2019,646.00,646.35,637.10,639.05,640.069415521310565042,43218,981,27662520.00,11179,25.87,9.25,-6.95
12-February-2019,637.05,653.00,637.05,643.95,645.041760985000740442,47269,1555,30490479.00,12896,27.28,15.95,6.90
11-February-2019,654.65,654.70,641.55,644.00,646.563936444652908067,34112,893,22055589.00,4644,13.61,13.15,-10.65
8-February-2019,658.00,662.40,646.55,654.75,655.646651604157252598,55325,1313,36273651.00,8204,14.83,15.85,-3.25
7-February-2019,644.00,658.90,633.95,656.35,650.988280444022613791,96932,2403,63101596.00,21284,21.96,24.95,12.35
6-February-2019,650.10,651.95,617.40,633.95,634.922854699064376483,114576,2609,72746921.00,30740,26.83,34.55,-16.15
5-February-2019,653.65,658.40,647.00,650.50,651.333816819266914453,66186,1379,43109180.00,23464,35.45,11.40,-3.15
4-February-2019,665.00,669.70,651.40,653.65,657.492850333651096282,45107,995,29657530.00,8858,19.64,18.30,-11.35
1-February-2019,650.00,669.85,645.00,666.55,660.302245079616259519,111221,2937,73439476.00,26053,23.42,24.85,16.55
31-January-2019,648.05,654.75,646.05,648.85,650.046152735411439813,55403,1253,36014507.00,14271,25.76,8.70,0.80
30-January-2019,654.00,654.45,643.70,646.80,649.373141992699818189,72053,1433,46789283.00,12165,16.88,10.75,-7.20
29-January-2019,648.25,654.30,644.00,649.40,647.898754232531189454,331362,3191,214689027.00,245077,73.96,10.30,1.15
28-January-2019,668.95,668.95,641.70,649.15,650.270693287849904685,99670,2792,64812480.00,18571,18.63,27.25,-19.80
25-January-2019,682.00,682.85,656.70,664.70,668.264011735209109586,459472,9715,307048602.00,67476,14.69,26.15,-17.30
24-January-2019,673.80,674.10,666.00,670.55,669.988863727569798773,69772,1662,46746463.00,16142,23.14,8.10,-3.25
23-January-2019,672.00,677.25,666.70,670.30,672.017967761547182832,121718,2823,81796683.00,21563,17.72,10.55,-1.70
22-January-2019,664.30,672.85,660.50,668.30,666.539793127030261583,70188,1733,46783095.00,17566,25.03,12.35,4.00
