CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKSBIN27-FEB-2020,306.8,306.8,313.95,305.5,312.35,312.35,1.8,39561,85890000,28630,26605560150
FUTSTKEXIDEIND26-MAR-2020,189.65,190.65,190.7,179.5,185.55,185.55,-2.16,50,208800,72,38377150
FUTSTKCUMMINSIND26-MAR-2020,569.05,573.2,573.2,568.5,568.5,568.5,-0.09,22,2700,3,1540035
FUTSTKASHOKLEY30-APR-2020,80,82.25,82.35,82.25,82.35,81.35,1.68,10,24000,3,1975200
FUTSTKKOTAKBANK26-MAR-2020,1702.55,1705,1712.75,1683.55,1702,1702,-0.03,331,120400,301,204569280
FUTSTKPEL26-MAR-2020,1416.4,1442.05,1474.95,1414.6,1454.9,1454.9,2.71,241,28428,92,41087683.65
FUTSTKBPCL30-APR-2020,473.5,475.15,501,475.15,493.25,508.05,7.29,10,25200,14,12279960
FUTSTKBOSCHLTD26-MAR-2020,14118.45,14174.15,14174.15,13640.7,13640.7,13895.8,-1.57,20,400,10,5545750
FUTSTKIDEA27-FEB-2020,5.3,5.3,5.4,5,5.3,5.3,0,4381,113190000,1155,590234400
FUTSTKIDEA30-APR-2020,5.3,5.5,5.5,5.5,5.5,5.5,3.77,1,98000,1,539000
FUTSTKCHOLAFIN26-MAR-2020,333.55,338.75,348,338.7,345,345,3.43,15,20000,8,6872250
FUTSTKMOTHERSUMI27-FEB-2020,133.65,134.4,136.8,131.35,135.75,135.75,1.57,3768,14860000,2972,2000463000
FUTSTKBOSCHLTD30-APR-2020,14191.75,0,0,0,,13967.95,-1.57,0,0,0,0
FUTSTKIOC26-MAR-2020,111,111.4,113.1,111.25,112.8,112.8,1.62,643,1004000,251,112873000
FUTSTKBAJAJ-AUTO27-FEB-2020,3162.2,3178.55,3213.8,3136.05,3153.25,3153.25,-0.28,6799,873250,3493,2768563663
FUTSTKBIOCON27-FEB-2020,285.9,287.5,296.55,285.2,293.55,293.55,2.67,5658,8128200,3534,2375921275
FUTSTKICICIBANK27-FEB-2020,533.05,531.9,541.35,528.1,539.9,539.9,1.28,73604,28271375,20561,15173118263
FUTSTKPNB30-APR-2020,57.55,57.55,57.75,57.15,57.5,57.6,0.08,17,58100,7,3342410
FUTSTKSBIN26-MAR-2020,308,307.1,315.15,306.95,313.7,313.7,1.85,990,3222000,1074,1002713700
FUTSTKMGL27-FEB-2020,1195.6,1200.7,1214.95,1182.5,1188.7,1188.7,-0.57,3794,706800,1178,840965730
FUTSTKCANBK26-MAR-2020,187.1,187.2,189,184.45,185.65,185.65,-0.77,145,286000,110,53351220
FUTSTKMRF27-FEB-2020,71896.85,72050,73844.4,71801.05,72693.7,72693.7,1.1,1922,10690,1069,776343831
FUTSTKMARICO30-APR-2020,311.2,305.85,306.9,299.8,306.9,315.55,1.39,15,9100,7,2771405
FUTSTKBAJFINANCE26-MAR-2020,4526.25,4512.75,4550.55,4495.3,4539.45,4539.45,0.29,482,76250,305,345376587.5
FUTSTKDRREDDY26-MAR-2020,3253.7,3240.1,3240.1,3150.05,3159.8,3159.8,-2.88,84,17750,71,56702562.5
FUTSTKHCLTECH26-MAR-2020,588.1,590.65,598.45,589.6,598.45,600,2.02,37,26600,19,15791370
FUTSTKASHOKLEY27-FEB-2020,79.35,79.8,82.75,79.5,80.75,80.75,1.76,7524,34520000,4315,2800244800
FUTSTKSRTRANSFIN26-MAR-2020,1054.3,1072.2,1134.5,1065.05,1127.9,1127.9,6.98,45,22800,38,25213380
FUTSTKKOTAKBANK27-FEB-2020,1696.6,1697.65,1707.95,1677,1696.4,1696.4,-0.01,20072,4184000,10460,7079698900
FUTSTKMARUTI27-FEB-2020,7209.4,7222.8,7247,7051.95,7073.05,7073.05,-1.89,29808,1045000,10450,7441624300
FUTSTKHEROMOTOCO27-FEB-2020,2409.8,2413,2429.8,2299,2328.85,2328.85,-3.35,15058,2790200,13951,6515018380
FUTSTKCONCOR26-MAR-2020,570.65,558.65,588,558.65,588,598.9,4.95,12,20319,13,11720233.65
FUTSTKLICHSGFIN26-MAR-2020,396.65,399.5,411.1,390.1,408.2,408.2,2.91,206,228800,176,91707590
FUTSTKFEDERALBNK30-APR-2020,90.9,91.3,91.3,90.6,90.6,92,1.21,13,28000,4,2548700
FUTSTKINFRATEL26-MAR-2020,235,239,245,237.45,240.5,240.5,2.34,51,60000,30,14453900
FUTSTKMARUTI26-MAR-2020,7238.75,7207.8,7276.35,7085.25,7100.3,7100.3,-1.91,512,20800,208,148644515
FUTSTKTATACHEM27-FEB-2020,739.05,739.05,765.9,733.1,754,754,2.02,4145,3734100,4149,2814605865
FUTSTKTATAGLOBAL27-FEB-2020,381.5,383.05,409.7,381.5,396.5,396.5,3.93,5420,52609500,19485,20959788555
FUTSTKUBL27-FEB-2020,1294.15,1298,1321.2,1293,1315.55,1315.55,1.65,2771,1044400,1492,1367563890
FUTSTKMGL26-MAR-2020,1208.95,1197,1197,1191.85,1191.85,1200.5,-0.69,30,1800,3,2150790
FUTSTKADANIPOWER30-APR-2020,61.2,62.95,62.95,62.95,62.95,62.8,2.61,1,10000,1,629500
FUTSTKPIDILITIND27-FEB-2020,1559.2,1565.25,1565.25,1547.15,1556.4,1556.4,-0.17,4329,490000,980,762174375
FUTSTKSRTRANSFIN27-FEB-2020,1052.35,1061.5,1136,1058.5,1127.1,1127.1,7.1,8169,5824200,9707,6436807530
FUTSTKIOC30-APR-2020,111.7,112.9,113,112.75,113,116.15,3.98,40,36000,9,4063600
FUTSTKSUNTV30-APR-2020,483.2,481.05,481.05,481.05,481.05,487.4,0.86,2,1200,1,577260
FUTSTKM&M30-APR-2020,584.3,584.3,590,584.3,590,591.75,1.27,5,4000,4,2344600
FUTSTKSAIL30-APR-2020,47.1,47.8,49.35,47.8,49.35,49.35,4.77,4,31400,2,1525255
FUTSTKDIVISLAB27-FEB-2020,1967.45,1967.5,1988,1955,1971.45,1971.45,0.2,3901,976400,2441,1927116780
FUTSTKHINDUNILVR27-FEB-2020,2165.35,2174.85,2187.7,2157.95,2166.75,2166.75,0.06,34073,1293900,4313,2809057740
FUTSTKVEDL27-FEB-2020,138.75,139.45,144.5,137.9,143.85,143.85,3.67,24094,36410500,10403,5139126125
FUTSTKGODREJCP26-MAR-2020,658.5,661.4,666.95,658,658.5,666.25,1.17,40,15200,19,10056120
FUTSTKM&MFIN27-FEB-2020,368.5,368.4,393.55,368.4,388.3,388.3,5.37,9516,6620800,4138,2550177840
FUTSTKM&MFIN30-APR-2020,372.65,0,0,0,,392.75,5.39,3,0,0,0
FUTSTKGLENMARK30-APR-2020,318.05,318.05,320.35,318.05,319.2,323.05,1.57,9,4200,3,1340640
FUTSTKUJJIVAN30-APR-2020,387.35,387.55,415.9,387.55,413.55,408.15,5.36,6,6800,4,2757910
FUTSTKNCC26-MAR-2020,51,51.35,53.5,51.35,52.7,52.7,3.33,129,612000,68,32133150
FUTSTKIBULHSGFIN26-MAR-2020,263.85,263.85,270.05,256.95,263.45,263.45,-0.15,1516,832800,694,219742560
FUTSTKPETRONET27-FEB-2020,271.25,272.2,273,265.35,269.3,269.3,-0.71,6310,3921000,1307,1052503800
FUTSTKULTRACEMCO27-FEB-2020,4479.05,4504.15,4535.95,4417.1,4490.7,4490.7,0.26,13341,752400,3762,3371479890
FUTIDXBANKNIFTY30-APR-2020,30909.35,30870,31284.1,30822.85,31241.05,31241.05,1.07,393,5400,270,167732438
FUTSTKIOC27-FEB-2020,111.95,112.6,114.5,111.85,114.1,114.1,1.92,15553,18960000,4740,2152420000
FUTSTKESCORTS30-APR-2020,851,851,868.6,851,860,860,1.05,11,7700,7,6630415
FUTSTKCIPLA27-FEB-2020,446.5,448,459,438.2,447.8,447.8,0.29,12395,11256200,9788,5028771578
FUTSTKBEL27-FEB-2020,83.7,83.7,86.7,83.1,85.5,85.5,2.15,9442,16242000,2707,1382095500
FUTSTKMRF30-APR-2020,72600.5,0,0,0,,73303.95,0.96,0,0,0,0
FUTSTKJINDALSTEL30-APR-2020,185.75,185.85,187,185.85,187,192.5,3.63,7,10000,2,1864250
FUTSTKAPOLLOHOSP26-MAR-2020,1677.35,1678.05,1678.05,1678,1678,1669.75,-0.45,63,1000,2,1678025
FUTSTKBALKRISIND26-MAR-2020,1134.7,1124.55,1135.3,1099.9,1099.9,1108.6,-2.3,24,16800,21,18850400
FUTSTKMANAPPURAM27-FEB-2020,172.65,175,175.6,166.6,168.55,168.55,-2.37,5719,32154000,5359,5487593100
FUTSTKTECHM26-MAR-2020,812.3,816.75,819.4,814,819.15,819.15,0.84,69,13200,11,10784580
FUTSTKONGC27-FEB-2020,101.5,101.5,103,100.55,102.45,102.45,0.93,26798,17425000,4250,1776477930
FUTSTKTITAN30-APR-2020,1281.05,1281.05,1285,1270,1281.05,1296.05,1.17,4,6000,8,7689937.5
FUTSTKNESTLEIND30-APR-2020,16666.25,0,0,0,,16591.65,-0.44,3,0,0,0
FUTSTKHDFC26-MAR-2020,2355.55,2342.5,2402.45,2340.1,2399.3,2399.3,1.85,1452,123000,492,291607150
FUTSTKJUSTDIAL27-FEB-2020,531.1,535.85,535.85,518.1,526.8,526.8,-0.8,1730,3942400,2816,2071602120
FUTSTKTORNTPHARM27-FEB-2020,1934.95,1950,2022,1949.2,1995.75,1995.75,3.14,685,628000,1256,1253550125
FUTSTKMANAPPURAM30-APR-2020,172.8,175.25,175.7,168.9,169,169,-2.19,17,144000,24,24739500
FUTSTKM&MFIN26-MAR-2020,370.75,372.4,391,372.4,390.2,390.2,5.24,39,49600,31,19108000
FUTSTKDIVISLAB26-MAR-2020,1974.55,1974.55,1989,1962.25,1972.75,1972.75,-0.09,127,13200,33,26079860
FUTSTKKOTAKBANK30-APR-2020,1720.05,1707.35,1707.35,1695,1698.35,1711.15,-0.51,9,1200,3,2040280
FUTSTKBERGEPAINT30-APR-2020,583.35,0,0,0,,596.05,2.17,4,0,0,0
FUTIDXNIFTY26-MAR-2020,11994.8,12014.55,12126.25,11972.15,12109.2,12109.2,0.95,10961,396225,5283,4773240263
FUTSTKLT26-MAR-2020,1302.15,1306.8,1332.9,1303.55,1319.45,1319.45,1.32,772,160500,428,212031581.3
FUTSTKMUTHOOTFIN30-APR-2020,780.25,0,0,0,,769.25,-1.4,0,0,0,0
FUTSTKCONCOR27-FEB-2020,561.7,555.25,594.8,551.6,590.05,590.05,5.04,3369,6409863,4101,3697854654
FUTSTKAXISBANK30-APR-2020,724,726.35,732,722.4,732,733.2,1.27,9,7200,6,5234940
FUTSTKHEROMOTOCO26-MAR-2020,2414.2,2411.75,2415,2307.45,2336.85,2336.85,-3.2,356,57200,286,133026840
FUTSTKBEL26-MAR-2020,83.8,84.1,86.45,83.2,85.65,85.65,2.2,233,474000,79,40330500
FUTSTKCANBK30-APR-2020,188.1,188.1,188.7,186.3,186.3,186.3,-0.95,6,13000,5,2439710
FUTSTKCOLPAL27-FEB-2020,1359.45,1368,1380,1364.95,1372.1,1372.1,0.93,4211,739200,1056,1015385875
FUTSTKICICIPRULI30-APR-2020,476.25,0,0,0,,483.35,1.49,2,0,0,0
FUTSTKASIANPAINT26-MAR-2020,1899.95,1887.9,1895.65,1878,1886.15,1886.15,-0.72,107,28800,48,54366000
FUTSTKTATASTEEL27-FEB-2020,452.25,453.95,477.8,449.4,474.45,474.45,4.9,14822,29278500,19519,13554832425
FUTSTKINDIGO30-APR-2020,1431.1,1430,1450.45,1430,1450.45,1450.45,1.35,6,600,2,864135
FUTSTKTATACHEM30-APR-2020,745.25,0,0,0,,759.95,1.97,2,0,0,0
FUTSTKCANBK27-FEB-2020,186.65,186.7,188.6,183.65,184.9,184.9,-0.93,7280,13556400,5214,2522899210
FUTSTKULTRACEMCO30-APR-2020,4531.6,0,0,0,,4528.2,-0.07,2,0,0,0
FUTSTKPOWERGRID30-APR-2020,196.85,183,183,183,183,191.75,-2.59,4,4000,1,732000
FUTSTKCOALINDIA30-APR-2020,173.45,175.35,175.35,172.4,173.75,173.75,0.17,19,16200,6,2812725
FUTSTKHINDUNILVR30-APR-2020,2183.15,2183.15,2197,2181.55,2181.55,2187.65,0.2,6,1200,4,2627130
FUTSTKMUTHOOTFIN26-MAR-2020,772.9,772.9,773.3,761.25,761.3,765.3,-0.98,36,19500,13,14978400
FUTSTKTATASTEEL26-MAR-2020,454.2,454.7,479.9,451.2,476.4,476.4,4.88,449,603000,402,280897725
FUTSTKCHOLAFIN30-APR-2020,336.5,342,342,342,342,347,3.12,6,2500,1,855000
FUTSTKOIL30-APR-2020,130.65,0,0,0,,130.9,0.19,2,0,0,0
FUTSTKPEL27-FEB-2020,1423.25,1437,1486.15,1417.5,1463.05,1463.05,2.79,13293,2892858,9362,4206555957
FUTSTKJINDALSTEL26-MAR-2020,185,184.55,193.65,183.25,191.9,191.9,3.72,99,465000,93,87292750
FUTIDXBANKNIFTY26-MAR-2020,30817.6,30797.2,31211,30735.45,31151,31151,1.08,2319,55720,2786,1726562559
FUTSTKRECLTD26-MAR-2020,143.35,144.55,154.1,141.75,152.05,152.05,6.06,122,1002000,167,148914600
FUTSTKBHARTIARTL27-FEB-2020,520.35,517.25,537.6,516.55,534.1,534.1,2.64,28041,50160249,27099,26414496795
FUTSTKLT30-APR-2020,1308.95,1332.85,1335,1316,1321,1326.65,1.35,55,6000,16,7956843.75
FUTSTKADANIPOWER26-MAR-2020,60.9,61.75,62.75,61.5,62,62,1.8,27,170000,17,10563000
FUTSTKINFY30-APR-2020,797.95,785.45,791.5,783,791.5,794.5,-0.43,8,8400,7,6598500
FUTSTKNIITTECH30-APR-2020,1947.2,0,0,0,,1959.95,0.65,0,0,0,0
FUTSTKBAJFINANCE27-FEB-2020,4519.55,4494.15,4540,4451,4529.95,4529.95,0.23,24000,2398750,9595,10828252813
FUTSTKICICIBANK30-APR-2020,537.6,537,545.6,537,545.3,545.3,1.43,38,20625,15,11183425
FUTSTKGRASIM27-FEB-2020,797,798.5,805.55,789.95,803.3,803.3,0.79,31404,1620750,2161,1293506663
FUTSTKTECHM27-FEB-2020,811,809.8,819.5,808.5,817.2,817.2,0.76,12612,3084000,2570,2512676040
FUTSTKUBL26-MAR-2020,1299.85,1293.15,1321,1293.15,1321,1322.95,1.77,21,3500,5,4590670
FUTSTKIDFCFIRSTB30-APR-2020,40.4,40.5,41.35,40.5,41,41,1.48,276,900000,75,36941400
FUTSTKDABUR27-FEB-2020,504.05,507.2,513.65,503.55,511.95,511.95,1.56,10456,2648750,2119,1351338000
FUTSTKTORNTPHARM30-APR-2020,1953.4,0,0,0,,2026.55,3.74,0,0,0,0
FUTSTKJUBLFOOD26-MAR-2020,1935.45,1950,1958.95,1932,1945.15,1945.15,0.5,85,10500,21,20426925
FUTSTKBEL30-APR-2020,85.95,85.95,85.95,85.45,85.45,88,2.38,7,12000,2,1028400
FUTSTKINDIGO26-MAR-2020,1416.9,1417.5,1459.5,1416.7,1451.9,1451.9,2.47,259,13500,45,19375890
FUTIDXNIFTYIT30-APR-2020,16560,0,0,0,,16657,0.58,0,0,0,0
FUTSTKWIPRO27-FEB-2020,238.65,239.45,241.75,237.25,241.25,241.25,1.08,6914,4576000,1430,1095900800
FUTSTKHDFCBANK27-FEB-2020,1230.3,1234.8,1248.55,1227.1,1246.6,1246.6,1.32,61673,9465000,18930,11723024450
FUTSTKICICIPRULI27-FEB-2020,469.5,471,479.95,470.7,476.4,476.4,1.46,6040,4326000,2884,2057109000
FUTSTKBOSCHLTD27-FEB-2020,14035.35,14200,14439.65,13564.05,13817.55,13817.55,-1.55,3754,125800,3145,1757488474
FUTSTKASIANPAINT27-FEB-2020,1892.3,1891.95,1891.95,1871.25,1880.4,1880.4,-0.62,12993,2204400,3674,4149012180
FUTSTKHINDUNILVR26-MAR-2020,2171.75,2175,2193,2170.15,2172.6,2172.6,0.03,254,6900,23,15038745
FUTSTKRECLTD30-APR-2020,143,144.6,151.7,144.6,151.7,152.85,6.88,7,48000,8,7144800
FUTSTKDLF26-MAR-2020,243.3,247.1,254.05,244.05,252.9,252.9,3.94,248,683100,207,170886705
FUTSTKTATAGLOBAL26-MAR-2020,381.9,383,409.6,383,396.85,396.85,3.91,110,310500,115,123961320
FUTSTKPVR26-MAR-2020,2006.8,2027,2070.4,2027,2070.4,2068.6,3.07,36,8800,22,18041580
FUTSTKAXISBANK27-FEB-2020,718,722.3,726.7,715.6,725.1,725.1,0.98,41883,15568800,12974,11231218740
FUTSTKAMBUJACEM26-MAR-2020,206.45,206.45,208.25,205.7,207.35,207.35,0.43,3902,10340000,4136,2138325000
FUTSTKEQUITAS27-FEB-2020,108.75,109.7,115.4,109.45,114.7,114.7,5.47,4089,20192900,4121,2281770015
FUTSTKRELIANCE27-FEB-2020,1425,1430.35,1451.6,1427.9,1446.25,1446.25,1.49,79203,13460000,26920,19390719400
FUTSTKOIL26-MAR-2020,123.8,124.6,124.65,123.5,123.5,130.2,5.16,53,37389,11,4644733.5
FUTSTKGODREJCP30-APR-2020,662.95,0,0,0,,669.7,1.01,1,0,0,0
FUTSTKBAJAJFINSV27-FEB-2020,9521.75,9520,9685,9496.6,9620.75,9620.75,1.03,8789,394750,3158,3790469869
FUTSTKCUMMINSIND30-APR-2020,569.65,0,0,0,,577.5,1.37,4,0,0,0
FUTSTKLICHSGFIN30-APR-2020,398.1,398.75,409,394.5,407.5,407.5,2.36,34,19500,15,7821190
FUTSTKHDFC27-FEB-2020,2350,2350.1,2397.9,2333,2394.3,2394.3,1.88,127436,3645000,14580,8645632750
FUTSTKDRREDDY27-FEB-2020,3243.2,3251.4,3258.15,3136.35,3146.9,3146.9,-2.96,11080,1342000,5368,4264395725
FUTSTKIGL26-MAR-2020,514.6,517.75,517.75,512,514.9,514.9,0.05,32,44000,16,22657387.5
FUTSTKCONCOR30-APR-2020,573.6,565.95,592.75,565.95,592.75,602,4.95,3,7815,5,4532074.8
FUTSTKINFY27-FEB-2020,788.95,784,789,777.1,787.6,787.6,-0.17,25228,7254000,6045,5675737440
FUTSTKAMBUJACEM30-APR-2020,209.45,0,0,0,,209,-0.21,0,0,0,0
FUTSTKBHARTIARTL30-APR-2020,524.1,524.3,540,520,537.4,537.4,2.53,22,77742,42,41255828.4
FUTSTKGMRINFRA30-APR-2020,22.3,23.2,23.2,23.2,23.2,23.2,4.03,1,45000,1,1044000
FUTSTKACC26-MAR-2020,1498.5,1492.75,1498.55,1471.75,1476.15,1476.15,-1.49,188,58000,145,85783060
FUTSTKINDUSINDBK27-FEB-2020,1275.8,1276.75,1289.8,1266.1,1278.45,1278.45,0.2,33066,4311600,10779,5516780520
FUTSTKDABUR30-APR-2020,509.8,506.95,513.85,506.95,513.85,513.85,0.79,5,2500,2,1276000
FUTSTKCIPLA30-APR-2020,454.2,451.4,456.4,448.8,456.4,456.4,0.48,5,4600,4,2076210
FUTSTKEQUITAS26-MAR-2020,108.5,111.45,115,111.15,115,115,5.99,60,284200,58,32170215
FUTSTKBAJAJ-AUTO26-MAR-2020,3156.8,3160,3205.85,3135,3148.4,3148.4,-0.26,500,9750,39,30823600
FUTSTKADANIENT26-MAR-2020,227.15,227.7,239.65,223.75,237.4,237.4,4.51,146,200000,50,46334800
FUTSTKONGC30-APR-2020,107.5,101.25,102.2,100.7,102.1,102.1,-5.02,61,45100,11,4577445
FUTSTKPIDILITIND30-APR-2020,1576.95,1565,1565,1557.35,1563,1570.6,-0.4,6,2500,5,3905675
FUTSTKZEEL26-MAR-2020,245.9,247.05,248.4,221.6,228.65,228.65,-7.01,219,863600,508,198232920
FUTSTKADANIPORTS26-MAR-2020,372.05,368.3,371.2,361.75,368,368,-1.08,272,285000,114,104198875
FUTSTKTCS26-MAR-2020,2120.35,2120.35,2156,2115.45,2149.75,2149.75,1.38,741,74500,298,159308362.5
FUTSTKL&TFH30-APR-2020,112.7,0,0,0,,119.95,6.43,113,0,0,0
FUTSTKTATASTEEL30-APR-2020,457.7,455.25,477.7,455.25,477.7,477.7,4.36,9,6000,4,2786250
FUTSTKSHREECEM26-MAR-2020,24671.05,24671.05,25255,24671.05,24881.15,24881.15,0.85,44,400,8,9960027.5
FUTSTKBRITANNIA27-FEB-2020,3246.55,3280,3324,3254.75,3267.5,3267.5,0.64,11849,533600,2668,1754820360
FUTSTKPAGEIND26-MAR-2020,24841.75,24501.05,24501.05,24501.05,24501.05,24899.6,0.23,32,25,1,612526.25
FUTSTKINDUSINDBK26-MAR-2020,1280.9,1280.1,1294.4,1273.9,1283.65,1283.65,0.21,502,134400,336,172722280
FUTSTKMUTHOOTFIN27-FEB-2020,773.55,775,783.9,757.5,761.15,761.15,-1.6,3353,2499000,1666,1924080150
FUTSTKDLF27-FEB-2020,242.65,247.2,254.55,243.4,252.85,252.85,4.2,9560,28234800,8556,7048500030
FUTSTKYESBANK30-APR-2020,35.4,32.15,32.65,31.9,31.9,31.9,-9.88,38,272800,31,8726520
FUTSTKINFY26-MAR-2020,790.75,786.3,791,779.9,789.9,789.9,-0.1,301,312000,260,244684560
FUTSTKTORNTPOWER26-MAR-2020,307.05,295.95,319,295.95,316.9,320.5,4.38,24,123000,41,37275600
FUTSTKTORNTPOWER30-APR-2020,308.65,0,0,0,,322.2,4.39,0,0,0,0
FUTIDXNIFTYIT27-FEB-2020,16284,16250,16405,16250,16391,16391,0.65,115,1350,27,22026100
FUTSTKNTPC30-APR-2020,113.45,108.9,109.25,108.9,108.9,108.9,-4.01,31,14400,3,1569840
FUTSTKAUROPHARMA30-APR-2020,501.15,501.15,512.7,500.4,511.55,511.55,2.07,18,25000,25,12658250
FUTSTKMFSL30-APR-2020,489.7,0,0,0,,489.8,0.02,0,0,0,0
FUTSTKPOWERGRID26-MAR-2020,183.35,183.55,185.1,181.3,182,182,-0.73,500,1388000,347,254787600
FUTSTKLUPIN30-APR-2020,730.85,0,0,0,,731.65,0.1,1,0,0,0
FUTSTKHINDPETRO26-MAR-2020,227.85,229.45,234.75,229.2,233.35,233.35,2.41,209,252000,120,58525215
FUTSTKAPOLLOHOSP27-FEB-2020,1675.7,1682.25,1687.65,1654,1662.85,1662.85,-0.76,3180,580000,1160,966508125
FUTSTKSRF26-MAR-2020,3769.35,3820,4010,3815,4003.55,4003.55,6.21,116,32250,129,126929375
FUTSTKHINDALCO27-FEB-2020,189.35,189.9,197.6,188.4,196.3,196.3,3.67,13294,17822000,5092,3440330075
FUTSTKRAMCOCEM30-APR-2020,813.95,803.9,803.95,803.9,803.95,803.95,-1.22,3,1600,2,1286280
FUTSTKTITAN26-MAR-2020,1277.9,1277.9,1294.2,1258.65,1280.8,1280.8,0.22,339,88500,118,113046750
FUTSTKESCORTS27-FEB-2020,849.2,843.9,866.55,842,857.4,857.4,0.96,4140,6858500,6235,5887943215
FUTSTKVEDL30-APR-2020,139.15,139.2,144,139.2,143.65,143.65,3.23,21,59500,17,8421525
FUTSTKAMARAJABAT26-MAR-2020,782.8,795,795,785,785,790.65,1,32,2400,3,1898720
FUTSTKITC30-APR-2020,217.7,217.7,219.15,214.65,218.6,218.6,0.41,85,62400,26,13533600
FUTSTKL&TFH27-FEB-2020,113.7,113.4,119.1,113.25,118.25,118.25,4,5239,20143200,3597,2363542160
FUTSTKBATAINDIA30-APR-2020,1889.95,0,0,0,,1896.45,0.34,5,0,0,0
FUTSTKNMDC27-FEB-2020,103.7,103.9,109.6,102.65,109.05,109.05,5.15,6719,24462000,4077,2624552100
FUTSTKMINDTREE26-MAR-2020,903.85,903.85,915.7,903.85,908.5,908.5,0.51,50,25600,32,23217840
FUTSTKADANIPOWER27-FEB-2020,60.75,60.95,62.8,60.7,62,62,2.05,7164,12970000,1297,799658000
FUTSTKTCS27-FEB-2020,2114.95,2123.65,2153.95,2110,2143.7,2143.7,1.35,54794,2073500,8294,4423633225
FUTSTKPEL30-APR-2020,1413.55,1439.35,1450,1426,1450,1477.5,4.52,19,1236,4,1781493.15
FUTSTKPNB27-FEB-2020,57,56.45,57.45,56.2,57.05,57.05,0.08,14554,33233200,4004,1888614785
FUTSTKTECHM30-APR-2020,821.5,819.5,819.5,819.5,819.5,824.35,0.34,5,1200,1,983400
FUTSTKBATAINDIA26-MAR-2020,1879.75,1886.15,1886.2,1864.1,1881,1881,0.06,47,11550,21,21676462.5
FUTSTKEICHERMOT27-FEB-2020,19570.5,19700,19850,19404.45,19541,19541,-0.15,7523,92910,3097,1822228334
FUTSTKPOWERGRID27-FEB-2020,184.9,184.75,187.8,183.8,184.65,184.65,-0.13,19783,16784000,4196,3118654200
FUTSTKCHOLAFIN27-FEB-2020,333.5,335.45,349.3,334.3,344.3,344.3,3.23,2492,9412500,3765,3231291750
FUTSTKJSWSTEEL26-MAR-2020,260.1,259.75,273.1,258.4,271.35,271.35,4.32,346,664700,289,176389300
FUTSTKWIPRO26-MAR-2020,238.7,239,241.45,237.5,241.45,241.45,1.15,292,236800,74,56578720
FUTSTKCADILAHC26-MAR-2020,264.35,265.2,272.7,265.15,272.7,273.65,3.51,94,37400,17,10093710
FUTSTKBATAINDIA27-FEB-2020,1871.05,1879.95,1884,1860.8,1878,1878,0.37,3889,766700,1394,1436962093
FUTSTKTVSMOTOR30-APR-2020,461.05,0,0,0,476.3,468.9,1.7,1,1350,1,612360
FUTSTKIBULHSGFIN30-APR-2020,261,263,265.1,256,261.3,261.3,0.11,37,32400,27,8499960
FUTSTKOIL27-FEB-2020,123.9,124.85,125.3,123,124.15,124.15,0.2,4151,2477871,729,307259573
FUTSTKCADILAHC27-FEB-2020,263.75,264.15,275.35,264.15,273,273,3.5,3437,5185400,2357,1404591980
